GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 101, Cook County, Illinois",96.9,38.8,47.8,0,9.2,0,1.1,3.1
"Census Tract 102.01, Cook County, Illinois",98.1,35.6,46.5,0,7.2,0,8.8,1.9
"Census Tract 102.02, Cook County, Illinois",94.3,51.5,34.9,0.4,1.6,0.5,5.5,5.7
"Census Tract 103, Cook County, Illinois",97.3,54,27.7,0.1,10.8,0,4.6,2.7
"Census Tract 104, Cook County, Illinois",96.8,70.5,14.8,0,9,0,2.5,3.2
"Census Tract 105.01, Cook County, Illinois",95.7,54.8,37,0,3.9,0,0,4.3
"Census Tract 105.02, Cook County, Illinois",95.7,59.1,14.8,0.8,15.6,0,5.4,4.3
"Census Tract 105.03, Cook County, Illinois",97.1,69.9,11.6,0,15,0,0.6,2.9
"Census Tract 106, Cook County, Illinois",95,46.4,34.9,0,3.9,0,9.8,5
"Census Tract 107.01, Cook County, Illinois",95,57.9,17.6,0,2.1,0,17.3,5
"Census Tract 107.02, Cook County, Illinois",97.9,50,21.4,0,2.7,0,23.8,2.1
"Census Tract 201, Cook County, Illinois",98.9,49.9,36.3,0,12.6,0,0,1.1
"Census Tract 202, Cook County, Illinois",98,60.6,16.9,0,20.1,0,0.4,2
"Census Tract 203.01, Cook County, Illinois",97.8,84.4,5.6,0.5,4,0,3.3,2.2
"Census Tract 203.02, Cook County, Illinois",95.3,71.2,7,0,11.9,0,5.3,4.7
"Census Tract 204, Cook County, Illinois",98,58.3,16.8,2.5,15.6,0,4.7,2
"Census Tract 205, Cook County, Illinois",95.4,42.9,18,0,23.9,0.1,10.4,4.6
"Census Tract 206.01, Cook County, Illinois",96.8,62.8,2.1,0.6,19,0,12.4,3.2
"Census Tract 206.02, Cook County, Illinois",96.3,36.2,9.8,0,35.9,0,14.4,3.7
"Census Tract 207.01, Cook County, Illinois",97,69.7,7.2,2.5,14.1,0,3.6,3
"Census Tract 207.02, Cook County, Illinois",97.1,50.2,1.6,0.3,39.9,0,5.1,2.9
"Census Tract 208.01, Cook County, Illinois",96.7,64.7,4.9,0,15.3,0,11.8,3.3
"Census Tract 208.02, Cook County, Illinois",97.4,38.4,9.7,0,37.1,0,12.3,2.6
"Census Tract 209.01, Cook County, Illinois",97.3,41.9,14.5,0.2,32.5,0,8.2,2.7
"Census Tract 209.02, Cook County, Illinois",99.7,54.8,18.4,0.2,21.5,0,4.9,0.3
"Census Tract 301.01, Cook County, Illinois",97.2,61.3,19.4,0.2,8.6,0,7.8,2.8
"Census Tract 301.02, Cook County, Illinois",95.5,54.6,24.1,1.4,13.4,0,1.9,4.5
"Census Tract 301.03, Cook County, Illinois",99.6,66.5,22.1,0,7.4,0,3.7,0.4
"Census Tract 301.04, Cook County, Illinois",93.1,56.7,19.8,0,13.8,0.3,2.6,6.9
"Census Tract 302, Cook County, Illinois",98.5,79.3,9.5,0,5.1,0,4.5,1.5
"Census Tract 303, Cook County, Illinois",98.6,61,14.1,2.3,8.3,0.7,12.2,1.4
"Census Tract 304, Cook County, Illinois",95.4,67.5,7.3,1.1,6,0,13.5,4.6
"Census Tract 305, Cook County, Illinois",98,70.2,9.8,0,8.8,0,9.2,2
"Census Tract 306.01, Cook County, Illinois",98.3,57.2,25.3,0,15.3,0,0.6,1.7
"Census Tract 306.03, Cook County, Illinois",97.1,42.1,34.7,0,19.1,0,1.2,2.9
"Census Tract 306.04, Cook County, Illinois",99.5,51.4,18.9,0,28.5,0,0.6,0.5
"Census Tract 307.01, Cook County, Illinois",92,50.1,24.8,0,15.8,0,1.3,8
"Census Tract 307.02, Cook County, Illinois",100,70.4,1.4,0,28.2,0,0,0
"Census Tract 307.03, Cook County, Illinois",99.3,69,19.5,0,9.7,0,1.1,0.7
"Census Tract 307.06, Cook County, Illinois",90.8,59.7,18,0,11.2,0,1.9,9.2
"Census Tract 308, Cook County, Illinois",92,68.8,2.7,0,15.5,0,4.9,8
"Census Tract 309, Cook County, Illinois",97,73,1.4,0.2,13.8,0,8.5,3
"Census Tract 310, Cook County, Illinois",96.8,70.7,4.5,0,5.3,0,16.2,3.2
"Census Tract 311, Cook County, Illinois",98.4,62.2,8.5,0,21,0,6.8,1.6
"Census Tract 312, Cook County, Illinois",95.5,44.7,31,2.1,12.8,0,4.9,4.5
"Census Tract 313, Cook County, Illinois",95,43.4,27.6,0.2,23.4,0,0.4,5
"Census Tract 314, Cook County, Illinois",93.5,78.8,6.4,0.2,5.8,0,2.3,6.5
"Census Tract 315.01, Cook County, Illinois",99,37.6,28.8,0,24.2,0,8.4,1
"Census Tract 315.02, Cook County, Illinois",95.5,39.1,47.9,0.8,5,0,2.8,4.5
"Census Tract 317, Cook County, Illinois",100,65.5,20.1,0,8.1,0,6.3,0
"Census Tract 318, Cook County, Illinois",100,90.7,0.9,1,7.3,0,0,0
"Census Tract 319, Cook County, Illinois",99.2,78.6,7.1,1,7.6,0,4.9,0.8
"Census Tract 321, Cook County, Illinois",98.8,73.2,13.1,0,8.3,0,4.2,1.2
"Census Tract 401, Cook County, Illinois",98.4,74.6,8.9,1.7,6.9,0,6.3,1.6
"Census Tract 402.01, Cook County, Illinois",96.7,77.7,1.4,1.4,8.3,0,7.9,3.3
"Census Tract 402.02, Cook County, Illinois",97.4,59.9,10.5,0,16.6,0,10.4,2.6
"Census Tract 403, Cook County, Illinois",97.2,57.5,8.3,1.1,29.7,0,0.7,2.8
"Census Tract 404.01, Cook County, Illinois",98.1,68.3,2.8,0.3,7.6,1.5,17.5,1.9
"Census Tract 404.02, Cook County, Illinois",97.8,72.1,4.9,0,7.8,0,13,2.2
"Census Tract 406, Cook County, Illinois",98.8,74.3,0.5,0.5,3.3,0,20.2,1.2
"Census Tract 407, Cook County, Illinois",99.2,87.6,1.5,0,4,0,6.2,0.8
"Census Tract 408, Cook County, Illinois",92.4,76.5,3.6,2.5,7.8,0,1.8,7.6
