Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 101, Cook County, Illinois",95.9,44.1,45.9,0,4.6,0,1.4,4.1
"Census Tract 102.01, Cook County, Illinois",97.3,38.4,46.5,0.1,4.9,0,7.4,2.7
"Census Tract 102.02, Cook County, Illinois",93.9,52.5,32.2,0.3,1.8,0.6,6.5,6.1
"Census Tract 103, Cook County, Illinois",98.4,53,26.5,0.1,14.1,0,4.7,1.6
"Census Tract 104, Cook County, Illinois",96.8,73.1,14.5,0,6.7,0,2.5,3.2
"Census Tract 105.01, Cook County, Illinois",94.9,61.7,29.4,0,3.8,0,0,5.1
"Census Tract 105.02, Cook County, Illinois",96.7,59.5,15.5,0,15.1,0,6.6,3.3
"Census Tract 105.03, Cook County, Illinois",96,73.5,9.7,0,12.5,0,0.3,4
"Census Tract 106, Cook County, Illinois",94.1,52.2,36.2,0.1,1.4,0,4.1,5.9
"Census Tract 107.01, Cook County, Illinois",97.3,60.3,17.3,0,2.7,0,16.9,2.7
"Census Tract 107.02, Cook County, Illinois",96.9,52.5,21.6,0,3.6,0,19.2,3.1
"Census Tract 201, Cook County, Illinois",98.7,41.3,37,0,20.4,0,0,1.3
"Census Tract 202, Cook County, Illinois",98.3,70.9,5.9,0,20.5,0,1.1,1.7
"Census Tract 203.01, Cook County, Illinois",97.5,79.3,5.1,0.7,9.1,0,3.3,2.5
"Census Tract 203.02, Cook County, Illinois",98.8,68.1,11.6,0,14.2,0,4.8,1.2
"Census Tract 204, Cook County, Illinois",98.2,60,15.8,2.7,13.9,0,5.8,1.8
"Census Tract 205, Cook County, Illinois",93.1,42.5,20.5,0,19.6,0,10.4,6.9
"Census Tract 206.01, Cook County, Illinois",95.1,63.7,6.3,0.6,17.3,0,7.2,4.9
"Census Tract 206.02, Cook County, Illinois",96.3,38.1,10,0,30.5,0,17.7,3.7
"Census Tract 207.01, Cook County, Illinois",95.7,62.6,7.8,4.4,17.7,0,3.3,4.3
"Census Tract 207.02, Cook County, Illinois",95.2,52.5,1.5,0.2,37.6,0,3.3,4.8
"Census Tract 208.01, Cook County, Illinois",93.3,66.4,1.4,0,14.7,0,10.8,6.7
"Census Tract 208.02, Cook County, Illinois",97.4,34.8,4.8,0,51.8,0,6,2.6
"Census Tract 209.01, Cook County, Illinois",97.3,45.1,15,0.3,28.1,0,8.8,2.7
"Census Tract 209.02, Cook County, Illinois",99.4,56.9,18.6,0,23.6,0,0.4,0.6
"Census Tract 301.01, Cook County, Illinois",96.6,58.9,19.5,0.2,10,0,8.1,3.4
"Census Tract 301.02, Cook County, Illinois",94.9,58.9,19.8,1.5,10.9,0,3.8,5.1
"Census Tract 301.03, Cook County, Illinois",98.7,62.1,13.7,0.2,12.5,0,10.3,1.3
"Census Tract 301.04, Cook County, Illinois",91.3,55.4,16.6,0,15.8,0.4,3.2,8.7
"Census Tract 302, Cook County, Illinois",98.3,81.7,8.5,0,5.4,0,2.7,1.7
"Census Tract 303, Cook County, Illinois",99.5,63.6,12.9,1.9,8.4,0,12.6,0.5
"Census Tract 304, Cook County, Illinois",94.7,68.5,10.8,0,8.3,0,7.2,5.3
"Census Tract 305, Cook County, Illinois",98.2,72.9,7,0,9.3,0,9,1.8
"Census Tract 306.01, Cook County, Illinois",97.1,59.4,21.8,0,14.9,0,1.1,2.9
"Census Tract 306.03, Cook County, Illinois",96.4,40.9,36.6,0,16.9,0,2,3.6
"Census Tract 306.04, Cook County, Illinois",97.6,52.6,17.5,0,27,0,0.6,2.4
"Census Tract 307.01, Cook County, Illinois",91.8,43.4,19.7,0,28.1,0,0.6,8.2
"Census Tract 307.02, Cook County, Illinois",100,77.6,3.4,0,19,0,0,0
"Census Tract 307.03, Cook County, Illinois",98,69.7,16.7,0,10.4,0,1.2,2
"Census Tract 307.06, Cook County, Illinois",92.6,57.4,19.9,0,12.1,0,3.3,7.4
"Census Tract 308, Cook County, Illinois",90.9,68.9,2.7,0,12.7,0,6.6,9.1
"Census Tract 309, Cook County, Illinois",96.7,66.9,2.3,0.2,17.4,0,9.9,3.3
"Census Tract 310, Cook County, Illinois",97.6,77,3,0,10.3,0,7.4,2.4
"Census Tract 311, Cook County, Illinois",98.4,69.4,5.2,0.3,15.5,0,8,1.6
"Census Tract 312, Cook County, Illinois",95.6,45.8,31.6,1.4,13.6,0,3.2,4.4
"Census Tract 313, Cook County, Illinois",94.7,46.9,25.9,0.1,19.8,0,1.9,5.3
"Census Tract 314, Cook County, Illinois",93.8,79.4,7.5,0.4,4.8,0,1.6,6.2
"Census Tract 315.01, Cook County, Illinois",98.7,44.5,29.8,0,21.8,0,2.6,1.3
"Census Tract 315.02, Cook County, Illinois",94.2,43.9,43.8,0.7,3.6,0,2.1,5.8
"Census Tract 317, Cook County, Illinois",98.6,59.5,25.8,0,7.7,0,5.5,1.4
"Census Tract 318, Cook County, Illinois",99.8,85.6,0.8,1.2,12.2,0,0,0.2
"Census Tract 319, Cook County, Illinois",99,80.8,6.4,0.2,8.1,0,3.6,1
"Census Tract 321, Cook County, Illinois",98.5,76.2,11.1,0,7.6,0,3.6,1.5
