GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
"Census Tract 101, Cook County, Illinois",97.2,53.2,38.6,3.8,0,1.6,2.8
"Census Tract 102.01, Cook County, Illinois",96.4,46.9,45.6,3.1,0,0.6,3.6
"Census Tract 102.02, Cook County, Illinois",97,51.1,29.3,8,0,8,3
"Census Tract 103, Cook County, Illinois",97.3,57.2,25.4,12.4,0,2.1,2.7
"Census Tract 104, Cook County, Illinois",96.5,74.7,13.2,6.7,0,1.9,3.5
"Census Tract 105.01, Cook County, Illinois",95.1,65.2,27.1,2.4,0,0.4,4.9
"Census Tract 105.02, Cook County, Illinois",97.1,58,17.8,13.9,0,7.1,2.9
"Census Tract 105.03, Cook County, Illinois",94.2,68.5,9.5,16.2,0,0,5.8
"Census Tract 106, Cook County, Illinois",93.9,60.4,27,2.2,0,4.3,6.1
"Census Tract 107.01, Cook County, Illinois",96.6,60.7,17.7,7.6,0,10.7,3.4
"Census Tract 107.02, Cook County, Illinois",96,61.9,19.4,4.6,0,10.1,4
"Census Tract 201, Cook County, Illinois",95.5,41.9,30.7,19.6,0,3.3,4.5
"Census Tract 202, Cook County, Illinois",97.6,61,12.2,21.7,0,2.6,2.4
"Census Tract 203.01, Cook County, Illinois",98.9,80.8,6.4,10.6,0,0.4,1.1
"Census Tract 203.02, Cook County, Illinois",97.4,67.3,13.7,12.7,0,3.7,2.6
"Census Tract 204, Cook County, Illinois",98.5,60.5,15.2,16.9,0,5.8,1.5
"Census Tract 205, Cook County, Illinois",90.6,45.3,20.5,21.3,0,3.4,9.4
"Census Tract 206.01, Cook County, Illinois",96.8,65,5.9,23.8,0,1,3.2
"Census Tract 206.02, Cook County, Illinois",97.8,48,9.7,32.5,0,7.6,2.2
"Census Tract 207.01, Cook County, Illinois",94.7,64.3,1,20.6,0,2.3,5.3
"Census Tract 207.02, Cook County, Illinois",94.6,61.4,4,24.7,0,4.4,5.4
"Census Tract 208.01, Cook County, Illinois",97.1,68.2,2.9,22.5,0,3.6,2.9
"Census Tract 208.02, Cook County, Illinois",96.5,39.7,5.9,46.7,0,4.2,3.5
"Census Tract 209.01, Cook County, Illinois",97.5,47,21.5,22.2,0,6.6,2.5
"Census Tract 209.02, Cook County, Illinois",99.6,62.2,17.6,19.4,0,0.4,0.4
"Census Tract 301.01, Cook County, Illinois",97.5,64.8,20.6,10.4,0,1.7,2.5
"Census Tract 301.02, Cook County, Illinois",96.3,56.3,22.8,14.2,0,2.6,3.8
"Census Tract 301.03, Cook County, Illinois",97.1,55.3,16.8,17.2,0.7,6.9,2.9
"Census Tract 301.04, Cook County, Illinois",89.6,58.2,12.4,17.1,0,1.9,10.4
"Census Tract 302, Cook County, Illinois",98.5,90.8,3.4,3.9,0,0.3,1.5
"Census Tract 303, Cook County, Illinois",97.4,66,10.3,10.9,0,10.1,2.6
"Census Tract 304, Cook County, Illinois",97.3,71.8,13.2,7.8,0,4.4,2.7
"Census Tract 305, Cook County, Illinois",97.6,81.2,5.7,7.7,0,2.9,2.4
"Census Tract 306.01, Cook County, Illinois",98.4,61.6,27.2,9.3,0,0.2,1.6
"Census Tract 306.03, Cook County, Illinois",97.6,41.9,34.3,17.3,0,1.8,2.4
"Census Tract 306.04, Cook County, Illinois",96.6,54.1,20.7,21.8,0,0,3.4
"Census Tract 307.01, Cook County, Illinois",91.3,56.1,18.7,14.2,0,1.9,8.7
"Census Tract 307.02, Cook County, Illinois",99.6,74.3,9.2,16.1,0,0,0.4
"Census Tract 307.03, Cook County, Illinois",94,69.2,16.6,6,0,2.2,6
"Census Tract 307.06, Cook County, Illinois",95.4,58,20.6,14.3,0,2.6,4.6
"Census Tract 308, Cook County, Illinois",92.5,73.3,4.5,13.3,0,1.5,7.5
"Census Tract 309, Cook County, Illinois",98.6,69,11.4,13.8,0,4.2,1.4
"Census Tract 310, Cook County, Illinois",94.8,77.2,5.2,8.3,0,4.1,5.2
"Census Tract 311, Cook County, Illinois",97.7,70.4,4.2,7.5,0,15.3,2.3
"Census Tract 312, Cook County, Illinois",96.6,52.2,29.8,12,0.5,0.3,3.4
"Census Tract 313, Cook County, Illinois",97.2,43.8,33.2,18.9,0,1.3,2.8
"Census Tract 314, Cook County, Illinois",94.7,77.4,10.5,4.9,0,1.8,5.3
"Census Tract 315.01, Cook County, Illinois",98,45.9,33.7,16.8,0,1.6,2
"Census Tract 315.02, Cook County, Illinois",91.6,38.6,44.9,6.1,0,2.1,8.4
"Census Tract 317, Cook County, Illinois",96.8,62.8,24.4,5.7,0,3.9,3.2
"Census Tract 318, Cook County, Illinois",99.2,89.5,2.2,6.7,0,0.7,0.8
"Census Tract 319, Cook County, Illinois",99.4,85,3.6,4.2,0,5.3,0.6
"Census Tract 321, Cook County, Illinois",95.8,81.7,8.8,4.2,0,1.1,4.2
"Census Tract 401, Cook County, Illinois",98.8,82.9,8.2,3.9,0,3.5,1.2
"Census Tract 402.01, Cook County, Illinois",98.3,75.2,3.2,10.6,0,9.2,1.7
"Census Tract 402.02, Cook County, Illinois",96.3,65.3,2.9,19.2,0,8.8,3.7
"Census Tract 403, Cook County, Illinois",94.3,64.3,2.9,25.8,0,0.5,5.7
"Census Tract 404.01, Cook County, Illinois",95.8,75.7,3.5,5.1,0,11.1,4.2
"Census Tract 404.02, Cook County, Illinois",96.7,73.4,4.3,15,0,4,3.3
"Census Tract 406, Cook County, Illinois",99.6,93,2.6,3.4,0,0.6,0.4
"Census Tract 407, Cook County, Illinois",93.6,84.4,1.9,5.3,0,2,6.4
"Census Tract 408, Cook County, Illinois",94.6,79.3,3.7,7.1,0,0.6,5.4
"Census Tract 409, Cook County, Illinois",96.8,90,0.2,5.2,0,1.4,3.2
"Census Tract 501, Cook County, Illinois",97.6,88.1,3.2,4.3,0,2,2.4
"Census Tract 502, Cook County, Illinois",96.3,89,2.6,3.7,0,1,3.7
"Census Tract 503, Cook County, Illinois",96.1,82.8,0.7,11,0,0.5,3.9
"Census Tract 505, Cook County, Illinois",93.8,87.8,1,2.3,0,2.7,6.2
"Census Tract 506, Cook County, Illinois",99,89.1,2.4,7.2,0,0.3,1
"Census Tract 507, Cook County, Illinois",98.7,93.8,0.8,2.6,0,1,1.3
"Census Tract 508, Cook County, Illinois",97.7,92.4,0.9,2.2,0,2.2,2.3
"Census Tract 509, Cook County, Illinois",98.1,88.9,0,7.1,0,2.1,1.9
"Census Tract 510, Cook County, Illinois",97.2,84.7,1.8,6.8,0,3.9,2.8
"Census Tract 511, Cook County, Illinois",98.5,89.4,1,2.8,0,5.4,1.5
"Census Tract 512, Cook County, Illinois",96.9,84.1,8.8,2.8,0,0.7,3.1
"Census Tract 513, Cook County, Illinois",97.8,91.4,1.9,3,0,1.5,2.2
"Census Tract 514, Cook County, Illinois",89.2,78.9,2.6,3.5,0,4.2,10.8
"Census Tract 601, Cook County, Illinois",97.9,86.9,8.2,0.9,0,1.9,2.1
"Census Tract 602, Cook County, Illinois",98,90.1,3.3,3.9,0,0.7,2
"Census Tract 603, Cook County, Illinois",99.4,93.2,1.1,4.9,0,0,0.6
"Census Tract 604, Cook County, Illinois",93.6,88.4,0.7,2.8,0,0.8,6.4
"Census Tract 605, Cook County, Illinois",96.6,80.4,5.1,9.8,0,1.3,3.4
"Census Tract 608, Cook County, Illinois",97.3,80.1,5.1,11.2,0,0.9,2.7
"Census Tract 609, Cook County, Illinois",95.9,83.9,4.1,4.1,0,2.3,4.1
"Census Tract 610, Cook County, Illinois",98.1,87,1.5,9,0,0.6,1.9
"Census Tract 611, Cook County, Illinois",100,92.1,2.3,4.8,0,0,0
"Census Tract 612, Cook County, Illinois",98.3,91.2,1.5,4.4,0,1.2,1.7
"Census Tract 615, Cook County, Illinois",98.6,93.3,0.8,2.9,0,1.7,1.4
"Census Tract 618, Cook County, Illinois",95.7,78.9,5.9,9.2,0,1.8,4.3
"Census Tract 619.01, Cook County, Illinois",97.9,80,2.3,11.8,0.2,3.4,2.1
"Census Tract 619.02, Cook County, Illinois",96.8,84,3.3,8.9,0,0.6,3.2
"Census Tract 620, Cook County, Illinois",96.5,84.3,5.3,6.1,0,0.8,3.5
"Census Tract 621, Cook County, Illinois",98.6,89.6,2.2,6.2,0,0.6,1.4
"Census Tract 622, Cook County, Illinois",99,88,4.2,6.2,0,0.7,1
"Census Tract 623, Cook County, Illinois",96.8,89.3,0.4,6.8,0,0.4,3.2
"Census Tract 624, Cook County, Illinois",98.4,90.1,1.8,4.7,0,1.7,1.6
"Census Tract 625, Cook County, Illinois",97.8,90,0,7.2,0,0.5,2.2
"Census Tract 626, Cook County, Illinois",93.1,81.4,1.5,10.1,0,0.2,6.9
"Census Tract 627, Cook County, Illinois",95.3,89.1,0.3,1.4,0,4.5,4.7
"Census Tract 628, Cook County, Illinois",97.5,91.2,1.8,4.5,0,0,2.5
"Census Tract 629, Cook County, Illinois",98.1,89.4,2.3,6.1,0,0.3,1.9
"Census Tract 630, Cook County, Illinois",97.3,81.6,4,9.2,0.2,1.8,2.7
"Census Tract 631, Cook County, Illinois",94.5,87.7,0.7,4.9,0,1.1,5.5
"Census Tract 632, Cook County, Illinois",97.8,81.5,4.1,11.3,0,0.8,2.2
"Census Tract 633.01, Cook County, Illinois",95.1,81,7.7,6.4,0,0,4.9
"Census Tract 633.02, Cook County, Illinois",98.2,83.2,0.8,13.5,0,0.7,1.8
"Census Tract 633.03, Cook County, Illinois",97.5,88.9,2.7,5.9,0,0,2.5
"Census Tract 634, Cook County, Illinois",98.1,87.1,6.1,4.9,0,0,1.9
"Census Tract 701.01, Cook County, Illinois",95.8,87.5,2,6,0,0.3,4.2
"Census Tract 701.02, Cook County, Illinois",98,84.6,5.4,6.1,0.4,1.5,2
"Census Tract 701.03, Cook County, Illinois",100,88.5,4.7,6,0,0.8,0
"Census Tract 702, Cook County, Illinois",97.5,83.5,5.4,7,0,1.5,2.5
"Census Tract 703, Cook County, Illinois",96.4,84.4,1.4,9.2,0,1.4,3.6
"Census Tract 704, Cook County, Illinois",99,87.7,5.3,4.3,0,1.7,1
