GEO.id,GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC04_VC51,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
Id,Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
1400000US17031010100,"Census Tract 101, Cook County, Illinois",96.1,50.5,39.1,0.6,3.8,0,2.7,3.9
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",95.5,44.2,47.6,0.8,2.6,0,0.4,4.5
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",98.5,48.2,32.3,0.7,8.6,0,8.9,1.5
1400000US17031010300,"Census Tract 103, Cook County, Illinois",98,62.5,26.2,0.2,8.1,0,1.1,2
1400000US17031010400,"Census Tract 104, Cook County, Illinois",96.7,70,19.2,0.5,5.6,0,1.9,3.3
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",95.1,60.1,29.7,0.7,4.4,0,0.9,4.9
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",97.1,65.8,20.8,0.5,5.5,0,4.7,2.9
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",94.8,67.7,10.1,1.3,16.7,0,0.3,5.2
1400000US17031010600,"Census Tract 106, Cook County, Illinois",95,62.4,26,0.4,2.1,0,4.5,5
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",97,58.3,18.8,0.7,11.3,0,8.6,3
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",96.2,63.1,18.9,0.5,6.2,0,8.1,3.8
1400000US17031020100,"Census Tract 201, Cook County, Illinois",95.7,35.8,36.6,0.7,19,0,4.3,4.3
1400000US17031020200,"Census Tract 202, Cook County, Illinois",97.7,64.5,10.8,0.4,19.6,0,2.8,2.3
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",98.8,82.1,3.9,0.6,11.8,0,0.3,1.2
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",97.1,71.9,11.8,0.6,11.9,0,1.5,2.9
