ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1290,Chicago/Kingsbury,River Village - Site H2,850 N Kingsbury St,River Village Townhomes,84,"Located in the Near North community, the project constructs 102 residential units; 29 town homes, 64 loft conversions, 9 multi-level units, parking, and other related improvements. 18 of the units are affordable at 120% area median income and 25 units are sold to CHA.",06/08/2004,$1473353,$4524377,1172058.309736067,1906146.09853145,41.897917487,-87.643489233,"(41.897917486929, -87.643489232502)"
12821,Stony Island Commercial/Burnside Industrial,Montclare Senior Residences of Calumet Heights,9401 S Stony Island Av,"MR Properties, LLC",,"A Planned Development and new construction of a 7 story building, including 134 units of senior housing, of which 101 units are affordable to seniors at or below 60% AMI.   The underlying zoning for this project is proposed to be B3-3 to accommodate the senior units as well as two commercial outlots, slated for restaurant uses.  The overall 5.5 acre site PD is anticipated to be filed by the developer in the coming weeks (Jan/Feb 2018).",04/10/2018,$3000000,$38067767,1188530.764681412,1842933.537677389,41.724078791,-87.585010238,"(41.724078791077, -87.585010237628)"
1240,Central Loop,Majestic Bldg,18 W Monroe St,"Shubert Hotel Associates, LLC and Monroe Presentation, LLC",14,"Located in the Loop, the project includes subdividing a 20-story building known as ""Majestic Building"".The project consists of renovating the first five floors to a 2,000 seat performing arts theater and convert the top 15 floors from office space to hotel space.  No city funds are used for hotel conversion.",12/10/2002,$5564650,$40537650,1176207.748321438,1899959.346042427,41.880848143,-87.62843558,"(41.880848142505, -87.628435580251)"
1593,Randolph/Wells,Randolph Tower - II,188 W Randolph St,"Randolph Tower City Apartments, Inc.",857,"The Randolph Tower II project is located in the Randolph/Wells TIF district and consists of the conversion and rehabilitation of a 45 story Class C office building containing approximately 371,000 gross square feet. The project will produce 310 apartments, 9500 square feet of retail, 11,000 square feet of office/commercial space and community facility space. In addition, no less than 62 apartment units are dedicated for affordable housing. Mix of studios, one, and two bedroom units.",03/09/2010,$34000000,$145059588,1174747.572103761,1901307.25243041,41.884579663,-87.633756834,"(41.884579662974, -87.633756833539)"
1309,Goose Island,Wrigley Innovation Center,1132 W Blackhawk St,Wm. Wrigley Jr. Company,112,"The project includes the construction of 150,000 square foot ""Innovation Center"".  The building will include a 58,000 square foot laboratory and a 33,000 square foot research pilot plant.",08/13/2002,$15000000,$84330000,1168406.483307221,1909521.739799364,41.907260253,-87.656804173,"(41.907260252711, -87.656804172524)"
1341,Western Avenue North,Ravenswood Sq - 4800 Damen,4800 N Damen Av,"4800 Damen, LLC",166,"Located in Lincoln Square community, the project includes the demolition of four existing buildings to construct a 104,000 square foot, 4-story residential building.  The building will include 42 condominiums, including 9 affordable units, 12,000 square feet of ground floor commercial space, 36,000 square feet of below-grade parking (75 residential parking spaces and 24 commercial spaces), roof deck, and 50% green roof. Mix of two and three bedroom units, with 4 of the two bedrooms, and 5 three bedrooms making up the 9 affordable units.",04/27/2004,$3000000,$18385283,1162102.257046195,1931915.873417061,41.968845182,-87.679334725,"(41.968845181711, -87.679334724736)"
1604,Midwest,Rockwell West End- Phase II-A Rental,300 S Campbell Av,"East Lake/West End, LLC",907,The Rockwell West End Phase II project is located in the Midwest TIF District. The affordable housing project consists of the construction of 22 individual buildings containing 115 rental units. 101 units will be affordable.,07/08/2008,$1250000,$39248910,1159748.460582409,1898595.816750295,41.877461558,-87.688910294,"(41.877461558367, -87.688910293931)"
1030,79th Street/Southwest Highway,Wrightwood Senior,2815 W 79th St,79th Street Limited Partnershi,888,"The Wrightwood Senior Apartment Project is located in the 79th Street/Southwest Highway TIF District. This project consists of the construction of 85 unit 6-story building for senior housing with parking spaces and community facilities. 

Project is to be located at 2815 West 79th Street, Chicago Illinois, and contains 85 multi family residential dwelling units.  The Low Income Project will be the 76 units financed with HOME funds and required to be occupied by Low Income families. 

76 units HOME
9 units MAUI
85 units total

PIS Date: 11/3/2010",04/14/2009,$2950000,$21093696,1158906.933766121,1852040.954268382,41.749726457,-87.693273337,"(41.749726456621, -87.693273337231)"
1319,Near North,Parkside Old Town - I,400 W Division St,"Parkside Old Town I, LLC et al",125,"Located in the Near North community, the project includes construction of 2 mid-rise multi-family condominium buildings and 9 townhomes resulting in 263 residential units on an eight acre site.  There are 72 CHA units, 14 below market condominiums, and 177 market rate condominiums.",02/14/2006,$8737605,$104981839,1173434.105649285,1908338.374637044,41.903902743,-87.638370886,"(41.903902742747, -87.63837088624)"
1422,Near South <Central Station,Vietnam Vet Art Gallery,1801 S Indiana Av,Vietnam Veterans Arts Group,290,"Located in the Near South Side community area, the project rehabilitating an existing building an art gallery.",01/09/1996,$1000000,$2056143,1177979.637821211,1891588.61509185,41.857838242,-87.622184053,"(41.857838242032, -87.622184053297)"
