ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,LATITUDE,LONGITUDE
1290,Chicago/Kingsbury,River Village - Site H2,850 N Kingsbury St,River Village Townhomes,84,"Located in the Near North community, the project constructs 102 residential units; 29 town homes, 64 loft conversions, 9 multi-level units, parking, and other related improvements. 18 of the units are affordable at 120% area median income and 25 units are sold to CHA.",6/8/04,"$1,473,353 ","$4,524,377 ",41.89791749,-87.64348923
12821,Stony Island Commercial/Burnside Industrial,Montclare Senior Residences of Calumet Heights,9401 S Stony Island Av,"MR Properties, LLC",,"A Planned Development and new construction of a 7 story building, including 134 units of senior housing, of which 101 units are affordable to seniors at or below 60% AMI.   The underlying zoning for this project is proposed to be B3-3 to accommodate the senior units as well as two commercial outlots, slated for restaurant uses.  The overall 5.5 acre site PD is anticipated to be filed by the developer in the coming weeks (Jan/Feb 2018).",4/10/18,"$3,000,000 ","$38,067,767 ",41.72407879,-87.58501024
1240,Central Loop,Majestic Bldg,18 W Monroe St,"Shubert Hotel Associates, LLC and Monroe Presentation, LLC",14,"Located in the Loop, the project includes subdividing a 20-story building known as ""Majestic Building"".The project consists of renovating the first five floors to a 2,000 seat performing arts theater and convert the top 15 floors from office space to hotel space.  No city funds are used for hotel conversion.",12/10/02,"$5,564,650 ","$40,537,650 ",41.88084814,-87.62843558
1593,Randolph/Wells,Randolph Tower - II,188 W Randolph St,"Randolph Tower City Apartments, Inc.",857,"The Randolph Tower II project is located in the Randolph/Wells TIF district and consists of the conversion and rehabilitation of a 45 story Class C office building containing approximately 371,000 gross square feet. The project will produce 310 apartments, 9500 square feet of retail, 11,000 square feet of office/commercial space and community facility space. In addition, no less than 62 apartment units are dedicated for affordable housing. Mix of studios, one, and two bedroom units.",3/9/10,"$34,000,000 ","$145,059,588 ",41.88457966,-87.63375683
1309,Goose Island,Wrigley Innovation Center,1132 W Blackhawk St,Wm. Wrigley Jr. Company,112,"The project includes the construction of 150,000 square foot ""Innovation Center"".  The building will include a 58,000 square foot laboratory and a 33,000 square foot research pilot plant.",8/13/02,"$15,000,000 ","$84,330,000 ",41.90726025,-87.65680417
1341,Western Avenue North,Ravenswood Sq - 4800 Damen,4800 N Damen Av,"4800 Damen, LLC",166,"Located in Lincoln Square community, the project includes the demolition of four existing buildings to construct a 104,000 square foot, 4-story residential building.  The building will include 42 condominiums, including 9 affordable units, 12,000 square feet of ground floor commercial space, 36,000 square feet of below-grade parking (75 residential parking spaces and 24 commercial spaces), roof deck, and 50% green roof. Mix of two and three bedroom units, with 4 of the two bedrooms, and 5 three bedrooms making up the 9 affordable units.",4/27/04,"$3,000,000 ","$18,385,283 ",41.96884518,-87.67933473
1604,Midwest,Rockwell West End- Phase II-A Rental,300 S Campbell Av,"East Lake/West End, LLC",907,The Rockwell West End Phase II project is located in the Midwest TIF District. The affordable housing project consists of the construction of 22 individual buildings containing 115 rental units. 101 units will be affordable.,7/8/08,"$1,250,000 ","$39,248,910 ",41.87746156,-87.68891029
1030,79th Street/Southwest Highway,Wrightwood Senior,2815 W 79th St,79th Street Limited Partnershi,888,"The Wrightwood Senior Apartment Project is located in the 79th Street/Southwest Highway TIF District. This project consists of the construction of 85 unit 6-story building for senior housing with parking spaces and community facilities. 

Project is to be located at 2815 West 79th Street, Chicago Illinois, and contains 85 multi family residential dwelling units.  The Low Income Project will be the 76 units financed with HOME funds and required to be occupied by Low Income families. 

76 units HOME
9 units MAUI
85 units total

PIS Date: 11/3/2010",4/14/09,"$2,950,000 ","$21,093,696 ",41.74972646,-87.69327334
1319,Near North,Parkside Old Town - I,400 W Division St,"Parkside Old Town I, LLC et al",125,"Located in the Near North community, the project includes construction of 2 mid-rise multi-family condominium buildings and 9 townhomes resulting in 263 residential units on an eight acre site.  There are 72 CHA units, 14 below market condominiums, and 177 market rate condominiums.",2/14/06,"$8,737,605 ","$104,981,839 ",41.90390274,-87.63837089
1422,Near South <Central Station,Vietnam Vet Art Gallery,1801 S Indiana Av,Vietnam Veterans Arts Group,290,"Located in the Near South Side community area, the project rehabilitating an existing building an art gallery.",1/9/96,"$1,000,000 ","$2,056,143 ",41.85783824,-87.62218405
